,latitude,longitude,property_type,num_bathrooms,num_bedrooms,num_floors,num_recepts,new_home,loc_class,price
1308,50.94869600000001,-2.6169990000000003,Terraced house,0.0,3.0,0.0,0.0,0.0,3,140000.0
1309,51.125607,-3.106663,Bungalow,2.0,4.0,0.0,2.0,0.0,27,375000.0
1310,51.353268,-2.93035,Detached bungalow,0.0,4.0,0.0,0.0,0.0,8,265000.0
1311,50.950035,-2.645246,End terrace house,1.0,2.0,0.0,1.0,0.0,2,140000.0
1312,51.01479000000001,-3.136796,Semi-detached house,1.0,4.0,0.0,1.0,0.0,4,450000.0
1313,51.358093,-2.91475,Detached house,2.0,3.0,0.0,2.0,0.0,1,285000.0
1314,50.94514,-2.674729,Terraced house,2.0,3.0,0.0,1.0,0.0,3,210000.0
1315,50.953598,-2.611711,Terraced house,1.0,3.0,0.0,1.0,0.0,3,170000.0
1316,51.43196500000001,-2.8684380000000003,Semi-detached house,2.0,3.0,0.0,3.0,0.0,4,395000.0
1317,51.253067,-2.493065,Detached house,2.0,3.0,0.0,2.0,0.0,1,310000.0
1318,51.36607,-2.946209,Detached house,3.0,5.0,0.0,4.0,0.0,1,550000.0
1319,51.04178,-3.188394,Detached house,2.0,5.0,0.0,1.0,0.0,1,375000.0
1320,51.339687,-2.976101,Maisonette,1.0,2.0,0.0,1.0,0.0,-1,130000.0
1321,51.339687,-2.976101,Flat,1.0,2.0,0.0,1.0,0.0,0,117500.0
1322,50.957687,-2.601613,End terrace house,2.0,3.0,0.0,1.0,0.0,2,210000.0
1323,51.131126,-2.7360740000000003,End terrace house,2.0,4.0,0.0,2.0,0.0,2,285000.0
1324,51.35495,-2.98622,Flat,1.0,1.0,0.0,1.0,0.0,0,145000.0
1325,50.89582,-3.096258,Barn conversion,2.0,3.0,0.0,1.0,0.0,-1,495000.0
1326,51.19584,-3.433539,Chalet,1.0,0.0,0.0,0.0,0.0,-1,135000.0
1327,51.200264,-2.653346,Detached house,0.0,4.0,2.0,3.0,1.0,1,520000.0
1328,51.44567,-2.8517900000000003,Detached house,0.0,4.0,0.0,0.0,0.0,1,725000.0
1329,51.020535,-2.605706,Detached house,3.0,5.0,0.0,3.0,0.0,1,595000.0
1330,51.07225800000001,-3.4992019999999995,Semi-detached house,0.0,3.0,0.0,0.0,0.0,4,215000.0
1331,51.35155,-2.989564,Flat,0.0,1.0,0.0,0.0,0.0,0,175000.0
1332,51.206047,-2.652912,Semi-detached house,0.0,1.0,0.0,0.0,1.0,4,270950.0
1333,51.322105,-2.962137,End terrace house,1.0,3.0,0.0,1.0,0.0,2,175000.0
